free_text,address,price,price_meter,rooms,area,more,add_link,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Obsługa zdalna,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Dostępne od,Rok budowy,Rodzaj zabudowy,Okna,Winda,Media,Zabezpieczenia,Wyposażenie,Informacje dodatkowe,Materiał budynku,scraping_date,address_new,Longitude,Latitude
"Mieszkanie 2 pokojowe z oddzielną kuchnią-Olsztyn,","Mieszkanie na sprzedaż: ul. Juliana Dadleza, Jaroty, Olsztyn, warmińsko-mazurskie",505000.0,11197,2 pokoje,45.1,"45,1 m²",/pl/oferta/mieszkanie-2-pokojowe-z-oddzielna-kuchnia-olsztyn-ID4ouPh,"45,1 m²",pełna własność,2,do zamieszkania,2/3,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie,wtórny,prywatny,brak informacji,2011,blok,plastikowe,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",brak informacji,2024-01-16,"Juliana Dadleza, Jaroty, Olsztyn, warmińsko-mazurskie",20.4931526,53.7340412
Apartament inwestycyjny nad jeziorem Ukiel,"Mieszkanie na sprzedaż: Dajtki, Olsztyn, warmińsko-mazurskie",637000.0,19480,2 pokoje,32.7,Biuro nieruchomości,/pl/oferta/apartament-inwestycyjny-nad-jeziorem-ukiel-ID4o74z,"32,7 m²",pełna własność,2,do wykończenia,1/3,taras,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,brak informacji,2023,apartamentowiec,brak informacji,tak,brak informacji,monitoring / ochrona,brak informacji,brak informacji,brak informacji,2024-01-16,"Dajtki, Olsztyn, warmińsko-mazurskie",20.42240223190113,53.7682179
"Os. Aurora, M134, duży taras, oddzielna kuchnia","Mieszkanie na sprzedaż: ul. Franciszka Barcza 50, Nagórki, Olsztyn, warmińsko-mazurskie",772680.0,12000,3 pokoje,64.39,Inwestycja deweloperska,/pl/oferta/os-aurora-m134-duzy-taras-oddzielna-kuchnia-ID4evYW,"64,39 m²",pełna własność,3,do wykończenia,6/6,taras,Zapytaj,garaż/miejsce parkingowe,Film,Zapytaj,pierwotny,deweloper,brak informacji,2023,blok,brak informacji,tak,"internet, telefon","teren zamknięty, domofon / wideofon",brak informacji,oddzielna kuchnia,brak informacji,2024-01-16,"Franciszka Barcza 50, Nagórki, Olsztyn, warmińsko-mazurskie",20.502628926895582,53.74692555
Apartament Premium z34metrowym tarasem,"Mieszkanie na sprzedaż: ul. Franciszka Barcza, Nagórki, Olsztyn, warmińsko-mazurskie",1120000.0,16232,3 pokoje,69.0,69 m²,/pl/oferta/apartament-premium-z34metrowym-tarasem-ID4kQCk,69 m²,pełna własność,3,do zamieszkania,6/6,taras,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,prywatny,brak informacji,2023,apartamentowiec,brak informacji,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",brak informacji,brak informacji,2024-01-16,"Franciszka Barcza, Nagórki, Olsztyn, warmińsko-mazurskie",20.5040556,53.7497739
Apartament 3 pokoje + 2 miejsca w garażu,"Mieszkanie na sprzedaż: Śródmieście, Olsztyn, warmińsko-mazurskie",719000.0,12614,3 pokoje,57.0,57 m²,/pl/oferta/apartament-3-pokoje-2-miejsca-w-garazu-ID4o2Sj,57 m²,pełna własność,3,do zamieszkania,parter,"balkon, taras",600 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,prywatny,brak informacji,2019,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",piwnica,inny,2024-01-16,"Śródmieście, Olsztyn, warmińsko-mazurskie",20.479841247382936,53.777882700000006
Apartamenty Wyzwolenia | apartament nr 39,"Mieszkanie na sprzedaż: ul. Wyzwolenia, Śródmieście, Olsztyn, warmińsko-mazurskie",453096.0,10850,2 pokoje,41.76,Inwestycja deweloperska,/pl/oferta/apartamenty-wyzwolenia-apartament-nr-39-ID4nyyb,"41,76 m²",pełna własność,2,do wykończenia,3/7,Zapytaj,Zapytaj,garaż/miejsce parkingowe,tak,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,2024-01-16,"Wyzwolenia, Śródmieście, Olsztyn, warmińsko-mazurskie",20.4781084,53.7788089
Lokal/Apartament 120m w samym centrum Olsztyna !,"Mieszkanie na sprzedaż: ul. Wyzwolenia 32, Śródmieście, Olsztyn, warmińsko-mazurskie",895000.0,7458,4 pokoje,120.0,120 m²,/pl/oferta/lokal-apartament-120m-w-samym-centrum-olsztyna-ID4lXvo,120 m²,pełna własność,4,do wykończenia,2/3,balkon,Zapytaj,Zapytaj,Zapytaj,gazowe,wtórny,prywatny,brak informacji,1890,kamienica,drewniane,nie,brak informacji,brak informacji,brak informacji,"klimatyzacja, piwnica",cegła,2024-01-16,"Wyzwolenia 32, Śródmieście, Olsztyn, warmińsko-mazurskie",20.478988043366282,53.778830549999995
Apartamenty Wyzwolenia | apartament nr 40,"Mieszkanie na sprzedaż: ul. Wyzwolenia, Śródmieście, Olsztyn, warmińsko-mazurskie",467310.0,10850,1 pokój,43.07,Inwestycja deweloperska,/pl/oferta/apartamenty-wyzwolenia-apartament-nr-40-ID4nyya,"43,07 m²",pełna własność,1,do wykończenia,3/7,Zapytaj,Zapytaj,garaż/miejsce parkingowe,tak,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,2024-01-16,"Wyzwolenia, Śródmieście, Olsztyn, warmińsko-mazurskie",20.4781084,53.7788089
Apartamenty Wyzwolenia | apartament nr 37,"Mieszkanie na sprzedaż: ul. Wyzwolenia, Śródmieście, Olsztyn, warmińsko-mazurskie",458413.0,10850,2 pokoje,42.25,Inwestycja deweloperska,/pl/oferta/apartamenty-wyzwolenia-apartament-nr-37-ID4nyy9,"42,25 m²",pełna własność,2,do wykończenia,3/7,Zapytaj,Zapytaj,garaż/miejsce parkingowe,tak,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,2024-01-16,"Wyzwolenia, Śródmieście, Olsztyn, warmińsko-mazurskie",20.4781084,53.7788089
Mieszkanie na sprzedaż Olsztyn Jaroty Stawigudzka,"Mieszkanie na sprzedaż: Jaroty, Olsztyn, warmińsko-mazurskie",449000.0,8315,2 pokoje,54.0,54 m²,/pl/oferta/mieszkanie-na-sprzedaz-olsztyn-jaroty-stawigudzka-ID4ou2C,54 m²,Zapytaj,2,do zamieszkania,2/3,balkon,Zapytaj,Zapytaj,Zapytaj,Zapytaj,wtórny,prywatny,brak informacji,brak informacji,blok,brak informacji,nie,"telewizja kablowa, internet",brak informacji,brak informacji,"piwnica, oddzielna kuchnia",brak informacji,2024-01-16,"Jaroty, Olsztyn, warmińsko-mazurskie",20.497921309754368,53.74069325
2-pokojowe mieszkanie Olsztyn - Nagórki,"Mieszkanie na sprzedaż: ul. Franciszka Barcza, Nagórki, Olsztyn, warmińsko-mazurskie",390000.0,8008,2 pokoje,48.7,Biuro nieruchomości,/pl/oferta/2-pokojowe-mieszkanie-olsztyn-nagorki-ID4otTA,"48,7 m²",Zapytaj,2,do zamieszkania,4/4,balkon,440 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,1981,blok,brak informacji,nie,brak informacji,brak informacji,brak informacji,"piwnica, oddzielna kuchnia",wielka płyta,2024-01-16,"Franciszka Barcza, Nagórki, Olsztyn, warmińsko-mazurskie",20.5040556,53.7497739
Mieszkanie - 3 pokoje - Centrum,"Mieszkanie na sprzedaż: ul. Kolejowa, Zatorze, Olsztyn, warmińsko-mazurskie",445000.0,7946,3 pokoje,56.0,Biuro nieruchomości,/pl/oferta/mieszkanie-3-pokoje-centrum-ID4otTB,56 m²,pełna własność,3,do zamieszkania,2/3,Zapytaj,350 zł,Zapytaj,Zapytaj,gazowe,wtórny,biuro nieruchomości ,brak informacji,1930,kamienica,brak informacji,nie,brak informacji,brak informacji,brak informacji,"piwnica, oddzielna kuchnia",cegła,2024-01-16,"Kolejowa, Zatorze, Olsztyn, warmińsko-mazurskie",20.4864789,53.7838721
"Mieszkanie na sprzedaż , Olsztyn, ul. Olimpijska","Mieszkanie na sprzedaż: Olimpijska, Likusy, Olsztyn, warmińsko-mazurskie",550000.0,19455,2 pokoje,28.27,Biuro nieruchomości,/pl/oferta/mieszkanie-na-sprzedaz-olsztyn-ul-olimpijska-ID4nRvl,"28,27 m²",pełna własność,2,Zapytaj,parter/1,"balkon, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,2023-12-15,brak informacji,apartamentowiec,brak informacji,tak,brak informacji,"teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,brak informacji,brak informacji,2024-01-16,"Olimpijska, Likusy, Olsztyn, warmińsko-mazurskie",20.4428415,53.7829541
Dwupokojowe mieszkanie w atrakcyjnej lokalizacji,"Mieszkanie na sprzedaż: ul. Mieczysława Orłowicza, Nagórki, Olsztyn, warmińsko-mazurskie",299000.0,6190,2 pokoje,48.3,Biuro nieruchomości,/pl/oferta/dwupokojowe-mieszkanie-w-atrakcyjnej-lokalizacji-ID4npdz,"48,3 m²",Zapytaj,2,Zapytaj,4/4,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,1979,blok,brak informacji,nie,brak informacji,brak informacji,brak informacji,oddzielna kuchnia,wielka płyta,2024-01-16,"Mieczysława Orłowicza, Nagórki, Olsztyn, warmińsko-mazurskie",20.4916583,53.7560443
Na sprzedaż atrakcyjna nieruchomość na Jarotach,"Mieszkanie na sprzedaż: ul. ks. Jana Hanowskiego, Jaroty, Olsztyn, warmińsko-mazurskie",229000.0,6203,2 pokoje,36.92,Biuro nieruchomości,/pl/oferta/na-sprzedaz-atrakcyjna-nieruchomosc-na-jarotach-ID4nk3Z,"36,92 m²",Zapytaj,2,do zamieszkania,1/2,balkon,500 zł,Zapytaj,Zapytaj,inne,wtórny,biuro nieruchomości ,brak informacji,1988,blok,brak informacji,nie,brak informacji,brak informacji,brak informacji,brak informacji,cegła,2024-01-16,"ks. Jana Hanowskiego, Jaroty, Olsztyn, warmińsko-mazurskie",20.4929024,53.7426742
Klimatyczne mieszkanie w centrum miasta,"Mieszkanie na sprzedaż: ul. Adama Mickiewicza, Osiedle Kościuszki, Olsztyn, warmińsko-mazurskie",369000.0,7365,2 pokoje,50.1,Biuro nieruchomości,/pl/oferta/klimatyczne-mieszkanie-w-centrum-miasta-ID4jIE2,"50,1 m²",pełna własność,2,do zamieszkania,2/3,Zapytaj,Zapytaj,Zapytaj,Zapytaj,gazowe,wtórny,biuro nieruchomości ,brak informacji,1962,kamienica,brak informacji,nie,brak informacji,brak informacji,brak informacji,brak informacji,cegła,2024-01-16,"Adama Mickiewicza, Osiedle Kościuszki, Olsztyn, warmińsko-mazurskie",20.4893246,53.7784231
"Mieszkanie W Kamienicy 90 m2, 4 pokoje","Mieszkanie na sprzedaż: ul. Marii Zientary-Malewskiej, Podleśna, Olsztyn, warmińsko-mazurskie",399000.0,4433,4 pokoje,90.0,Biuro nieruchomości,/pl/oferta/mieszkanie-w-kamienicy-90-m2-4-pokoje-ID4nq72,90 m²,pełna własność,4,do remontu,1/4,balkon,1 000 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,1913,kamienica,brak informacji,nie,brak informacji,brak informacji,meble,brak informacji,cegła,2024-01-16,"Marii Zientary-Malewskiej, Podleśna, Olsztyn, warmińsko-mazurskie",20.5119455,53.7903315
"Przestronne, komfortowe mieszkanie po remoncie.","Mieszkanie na sprzedaż: ul. Henryka Sienkiewicza, Zatorze, Olsztyn, warmińsko-mazurskie",455000.0,8922,2 pokoje,51.0,51 m²,/pl/oferta/przestronne-komfortowe-mieszkanie-po-remoncie-ID4otFE,51 m²,spółdzielcze wł. prawo do lokalu,2,do zamieszkania,2/3,balkon,510 zł,Zapytaj,tak,miejskie,wtórny,prywatny,brak informacji,brak informacji,blok,plastikowe,nie,"telewizja kablowa, internet",domofon / wideofon,"meble, piekarnik, kuchenka","piwnica, oddzielna kuchnia",cegła,2024-01-16,"Henryka Sienkiewicza, Zatorze, Olsztyn, warmińsko-mazurskie",20.4881287,53.7859654
"68m2 , kuchnia osobna, możliwość dokupienia garażu","Mieszkanie na sprzedaż: Stawigudzka 14, Jaroty, Olsztyn, warmińsko-mazurskie",530000.0,7768,3 pokoje,68.23,"68,23 m²",/pl/oferta/68m2-kuchnia-osobna-mozliwosc-dokupienia-garazu-ID4naUN,"68,23 m²",pełna własność,3,do remontu,parter/3,balkon,470 zł,garaż/miejsce parkingowe,Zapytaj,gazowe,wtórny,prywatny,brak informacji,2012,blok,plastikowe,nie,telewizja kablowa,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, rolety antywłamaniowe","zmywarka, lodówka, piekarnik, kuchenka","piwnica, oddzielna kuchnia, pom. użytkowe",cegła,2024-01-16,"Stawigudzka 14, Jaroty, Olsztyn, warmińsko-mazurskie",20.471013523338847,53.72437035
Apartamenty Wyzwolenia | apartament nr 36,"Mieszkanie na sprzedaż: ul. Wyzwolenia, Śródmieście, Olsztyn, warmińsko-mazurskie",453096.0,10850,2 pokoje,41.76,Inwestycja deweloperska,/pl/oferta/apartamenty-wyzwolenia-apartament-nr-36-ID4nyy8,"41,76 m²",pełna własność,2,do wykończenia,3/7,Zapytaj,Zapytaj,garaż/miejsce parkingowe,tak,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,2024-01-16,"Wyzwolenia, Śródmieście, Olsztyn, warmińsko-mazurskie",20.4781084,53.7788089
Kołobrzeska 36B / 4 pokoje / 83 m2,"Mieszkanie na sprzedaż: ul. Kołobrzeska 36B, Pojezierze, Olsztyn, warmińsko-mazurskie",602591.4,7290,4 pokoje,82.66,Inwestycja deweloperska,/pl/oferta/kolobrzeska-36b-4-pokoje-83-m2-ID4jeEr,"82,66 m²",Zapytaj,4,do wykończenia,2/4,balkon,Zapytaj,garaż/miejsce parkingowe,Film,miejskie,pierwotny,deweloper,brak informacji,2022,blok,plastikowe,tak,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",brak informacji,piwnica,brak informacji,2024-01-16,"Kołobrzeska 36B, Pojezierze, Olsztyn, warmińsko-mazurskie",20.50650812906342,53.77991015
"Browary Park, 54m2, 2 pokoje, garaż, balkon","Mieszkanie na sprzedaż: al. Aleja Wojska Polskiego 20, Osiedle Wojska Polskiego, Olsztyn, warmińsko-mazurskie",699000.0,12944,2 pokoje,54.0,54 m²,/pl/oferta/browary-park-54m2-2-pokoje-garaz-balkon-ID4oh5F,54 m²,pełna własność,2,do zamieszkania,3/4,balkon,600 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,prywatny,brak informacji,2011,blok,plastikowe,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, piekarnik, kuchenka","piwnica, oddzielna kuchnia",brak informacji,2024-01-16,"Aleja Wojska Polskiego 20, Osiedle Wojska Polskiego, Olsztyn, warmińsko-mazurskie",,
"Nowe mieszkanie - 2 pokoje, 2 piętro - Flisa 6","Mieszkanie na sprzedaż: Flisa Marcina, Jaroty, Olsztyn, warmińsko-mazurskie",465000.0,10936,2 pokoje,42.52,Biuro nieruchomości,/pl/oferta/nowe-mieszkanie-2-pokoje-2-pietro-flisa-6-ID4otdX,"42,52 m²",pełna własność,2,Zapytaj,2/3,balkon,397 zł,garaż/miejsce parkingowe,tak,miejskie,wtórny,biuro nieruchomości ,brak informacji,2023,blok,plastikowe,nie,internet,domofon / wideofon,brak informacji,piwnica,pustak,2024-01-16,"Flisa Marcina, Jaroty, Olsztyn, warmińsko-mazurskie",,
Wilczyńskiego 6 - 3 pokoje na 3 p. po remoncie,"Mieszkanie na sprzedaż: ul. Biskupa Tomasza Wilczyńskiego, Jaroty, Olsztyn, warmińsko-mazurskie",509000.0,8157,3 pokoje,62.4,Biuro nieruchomości,/pl/oferta/wilczynskiego-6-3-pokoje-na-3-p-po-remoncie-ID4otdS,"62,4 m²",pełna własność,3,Zapytaj,3/4,balkon,482 zł,Zapytaj,tak,miejskie,wtórny,biuro nieruchomości ,brak informacji,1997,blok,plastikowe,nie,internet,domofon / wideofon,brak informacji,piwnica,pustak,2024-01-16,"Biskupa Tomasza Wilczyńskiego, Jaroty, Olsztyn, warmińsko-mazurskie",20.474107,53.7363132
"Osiedle Aurora, M58, taras, panoramiczne okna","Mieszkanie na sprzedaż: ul. Franciszka Barcza 50, Nagórki, Olsztyn, warmińsko-mazurskie",1092240.0,12000,4 pokoje,91.02,Inwestycja deweloperska,/pl/oferta/osiedle-aurora-m58-taras-panoramiczne-okna-ID4evWa,"91,02 m²",pełna własność,4,do wykończenia,6/6,balkon,Zapytaj,Zapytaj,Film,Zapytaj,pierwotny,deweloper,brak informacji,2022,blok,brak informacji,tak,"internet, telefon","teren zamknięty, domofon / wideofon",brak informacji,brak informacji,brak informacji,2024-01-16,"Franciszka Barcza 50, Nagórki, Olsztyn, warmińsko-mazurskie",20.502628926895582,53.74692555
REZERWACJA mieszkanie 2 pokoje centrum Jarot,"Mieszkanie na sprzedaż: ul. Jana Janowicza 5, Jaroty, Olsztyn, warmińsko-mazurskie",420000.0,9859,2 pokoje,42.6,Biuro nieruchomości,/pl/oferta/rezerwacja-mieszkanie-2-pokoje-centrum-jarot-ID4osXy,"42,6 m²",spółdzielcze wł. prawo do lokalu,2,do zamieszkania,3/3,balkon,441 zł,Zapytaj,Wirtualny spacer,miejskie,wtórny,biuro nieruchomości ,brak informacji,1997,blok,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, lodówka, piekarnik, kuchenka",piwnica,cegła,2024-01-16,"Jana Janowicza 5, Jaroty, Olsztyn, warmińsko-mazurskie",20.497877139449812,53.74045255
Mieszkanie 2 pok. na ul. Warszawskiej - Rezerwacja,"Mieszkanie na sprzedaż: al. Aleja Warszawska, Podgrodzie, Olsztyn, warmińsko-mazurskie",369000.0,8732,2 pokoje,42.26,Biuro nieruchomości,/pl/oferta/mieszkanie-2-pok-na-ul-warszawskiej-rezerwacja-ID4osPr,"42,26 m²",pełna własność,2,Zapytaj,5/5,Zapytaj,400 zł,Zapytaj,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,brak informacji,2010,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,2024-01-16,"Aleja Warszawska, Podgrodzie, Olsztyn, warmińsko-mazurskie",20.4695189,53.7698395
Apartamenty Wyzwolenia | apartament nr 33,"Mieszkanie na sprzedaż: ul. Wyzwolenia, Śródmieście, Olsztyn, warmińsko-mazurskie",596500.0,10000,3 pokoje,59.65,Inwestycja deweloperska,/pl/oferta/apartamenty-wyzwolenia-apartament-nr-33-ID4nyy7,"59,65 m²",pełna własność,3,do wykończenia,3/7,Zapytaj,Zapytaj,garaż/miejsce parkingowe,tak,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,2024-01-16,"Wyzwolenia, Śródmieście, Olsztyn, warmińsko-mazurskie",20.4781084,53.7788089
Mieszkanie w szeregowcu ul. Gołębia blisko jeziora,"Mieszkanie na sprzedaż: ul. Gołębia, Gutkowo, Olsztyn, warmińsko-mazurskie",699000.0,7061,4 pokoje,99.0,99 m²,/pl/oferta/mieszkanie-w-szeregowcu-ul-golebia-blisko-jeziora-ID4oszO,99 m²,pełna własność,4,Zapytaj,1/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,inne,pierwotny,prywatny,brak informacji,2023,szeregowiec,plastikowe,nie,brak informacji,brak informacji,brak informacji,brak informacji,cegła,2024-01-16,"Gołębia, Gutkowo, Olsztyn, warmińsko-mazurskie",20.4085188,53.7999148
Atrakcyjne 3 pokojowe mieszkanie,"Mieszkanie na sprzedaż: ul. Wojciecha Kętrzyńskiego, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",430000.0,7283,3 pokoje,59.04,Biuro nieruchomości,/pl/oferta/atrakcyjne-3-pokojowe-mieszkanie-ID4osq7,"59,04 m²",pełna własność,3,do zamieszkania,2/4,balkon,500 zł,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,1975,blok,plastikowe,nie,brak informacji,domofon / wideofon,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",piwnica,cegła,2024-01-16,"Wojciecha Kętrzyńskiego, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",20.4974486,53.7811903
"Olsztyn, Pojezierze 48,5m2, BEZ POŚREDNIKÓW!","Mieszkanie na sprzedaż: ul. Kołobrzeska, Pojezierze, Olsztyn, warmińsko-mazurskie",358000.0,7381,3 pokoje,48.5,"48,5 m²",/pl/oferta/olsztyn-pojezierze-48-5m2-bez-posrednikow-ID4osno,"48,5 m²",pełna własność,3,do zamieszkania,1/4,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie,wtórny,prywatny,brak informacji,1969,blok,plastikowe,nie,"telewizja kablowa, telefon",domofon / wideofon,brak informacji,"piwnica, oddzielna kuchnia",wielka płyta,2024-01-16,"Kołobrzeska, Pojezierze, Olsztyn, warmińsko-mazurskie",20.5014212,53.7790462
MIESZKANIE DWUPOKOJOWE W ODRESTAUROWANEJ KAMIENICY,"Mieszkanie na sprzedaż: Zatorze, Olsztyn, warmińsko-mazurskie",590000.0,9449,2 pokoje,62.44,Biuro nieruchomości,/pl/oferta/mieszkanie-dwupokojowe-w-odrestaurowanej-kamienicy-ID4maSs,"62,44 m²",Zapytaj,2,do zamieszkania,Zapytaj,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,1902,kamienica,plastikowe,nie,"telewizja kablowa, internet",brak informacji,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",piwnica,brak informacji,2024-01-16,"Zatorze, Olsztyn, warmińsko-mazurskie",20.488316039989876,53.78846295
przestronne mieszkanie w centrum olsztyna,"Mieszkanie na sprzedaż: Śródmieście, Olsztyn, warmińsko-mazurskie",790000.0,8876,3 pokoje,89.0,Biuro nieruchomości,/pl/oferta/przestronne-mieszkanie-w-centrum-olsztyna-ID4mei9,89 m²,pełna własność,3,do zamieszkania,2/4,"balkon, taras",791 zł,Zapytaj,Film,miejskie,wtórny,biuro nieruchomości ,brak informacji,1996,blok,drewniane,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, meble, piekarnik, kuchenka",piwnica,cegła,2024-01-16,"Śródmieście, Olsztyn, warmińsko-mazurskie",20.479841247382936,53.777882700000006
Mieszkanie w zabudowie szeregowej os.Generałów Ols,"Mieszkanie na sprzedaż: Osiedle Generałów, Olsztyn, warmińsko-mazurskie",729000.0,7674,3 pokoje,95.0,Biuro nieruchomości,/pl/oferta/mieszkanie-w-zabudowie-szeregowej-os-generalow-ols-ID4o1m1,95 m²,pełna własność,3,do zamieszkania,1/1,"balkon, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj,gazowe,wtórny,biuro nieruchomości ,brak informacji,2021,szeregowiec,plastikowe,nie,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",brak informacji,inny,2024-01-16,"Osiedle Generałów, Olsztyn, warmińsko-mazurskie",20.4792659,53.7373967
Mieszkanie 3-pokojowe Jaroty,"Mieszkanie na sprzedaż: Jaroty, Olsztyn, warmińsko-mazurskie",440000.0,7333,3 pokoje,60.0,Biuro nieruchomości,/pl/oferta/mieszkanie-3-pokojowe-jaroty-ID4o1nR,60 m²,pełna własność,3,do zamieszkania,3,balkon,Zapytaj,Zapytaj,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,brak informacji,1978,blok,brak informacji,nie,"telewizja kablowa, internet, telefon",domofon / wideofon,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, oddzielna kuchnia",wielka płyta,2024-01-16,"Jaroty, Olsztyn, warmińsko-mazurskie",20.497921309754368,53.74069325
Apartament Fregata Park,"Mieszkanie na sprzedaż: ul. Augustowska, Osiedle Mazurskie, Olsztyn, warmińsko-mazurskie",540000.0,9751,2 pokoje,55.38,Biuro nieruchomości,/pl/oferta/apartament-fregata-park-ID4o1pQ,"55,38 m²",pełna własność,2,do zamieszkania,2/4,balkon,500 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,2019,blok,plastikowe,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",meble,"piwnica, oddzielna kuchnia",beton komórkowy,2024-01-16,"Augustowska, Osiedle Mazurskie, Olsztyn, warmińsko-mazurskie",20.5104908,53.766483
"Dwupoziomowe - 4 pokoje, przy lesie","Mieszkanie na sprzedaż: ul. Biskupa Tomasza Wilczyńskiego, Jaroty, Olsztyn, warmińsko-mazurskie",529000.0,6260,4 pokoje,84.5,Biuro nieruchomości,/pl/oferta/dwupoziomowe-4-pokoje-przy-lesie-ID4o3OI,"84,5 m²",Zapytaj,4,Zapytaj,4/4,balkon,Zapytaj,Zapytaj,tak,miejskie,wtórny,biuro nieruchomości ,brak informacji,1997,blok,plastikowe,nie,internet,domofon / wideofon,brak informacji,"piwnica, dwupoziomowe",pustak,2024-01-16,"Biskupa Tomasza Wilczyńskiego, Jaroty, Olsztyn, warmińsko-mazurskie",20.474107,53.7363132
Centrum Bema dwa pokoje trzecie piętro 50 m2,"Mieszkanie na sprzedaż: pl. Plac gen. Józefa Bema, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",429000.0,8597,2 pokoje,49.9,Biuro nieruchomości,/pl/oferta/centrum-bema-dwa-pokoje-trzecie-pietro-50-m2-ID4os0y,"49,9 m²",pełna własność,2,do zamieszkania,3/5,balkon,570 zł,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,1962,blok,plastikowe,nie,"telewizja kablowa, internet",domofon / wideofon,"lodówka, meble, piekarnik, kuchenka, pralka",piwnica,inny,2024-01-16,"pl. Plac gen. Józefa Bema, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie",20.4922499,53.7836546
